date,bhyp_cum_usd_m,thyp_cum_usd_m,hypg_cum_usd_m,source
2026-05-12,0.0,1.2,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-13,0.0,2.6,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-14,0.7,7.5,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-15,2.0,10.6,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-18,4.0,13.0,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-19,9.7,18.3,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-20,18.5,35.0,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-21,26.9,42.7,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-22,37.9,42.7,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-26,56.9,44.1,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-27,58.6,45.8,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-28,59.6,46.5,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-05-29,81.7,56.0,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-06-01,81.7,57.3,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-06-02,84.8,57.3,0.0,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-06-03,84.8,60.3,0.5,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
2026-06-04,92.3,60.3,5.2,"Farside Investors (farside.co.uk/hyp, recorded 2026-06-05)"
