date,coin,price_usd
2026-04-22,HYPE,39.82201779473879
2026-04-23,HYPE,41.20452868445118
2026-04-24,HYPE,41.27577675882467
2026-04-25,HYPE,41.13230817744893
2026-04-26,HYPE,41.4890918997354
2026-04-27,HYPE,42.53744233494801
2026-04-28,HYPE,41.59844410694386
2026-04-29,HYPE,40.09985000137028
2026-04-30,HYPE,39.94540719085675
2026-05-01,HYPE,39.668522814724625
2026-05-02,HYPE,41.128410791536396
2026-05-03,HYPE,41.293629795689256
2026-05-04,HYPE,41.488044387977745
2026-05-05,HYPE,41.80874227472581
2026-05-06,HYPE,43.69117425457619
2026-05-07,HYPE,43.020729474192095
2026-05-08,HYPE,42.50435119516724
2026-05-09,HYPE,43.170899201278985
2026-05-10,HYPE,42.947494057193396
2026-05-11,HYPE,43.09429900877976
2026-05-12,HYPE,41.99080643323592
2026-05-13,HYPE,40.175700266184585
2026-05-14,HYPE,38.87972955615641
2026-05-15,HYPE,44.1206305777644
2026-05-16,HYPE,44.185774397042415
2026-05-17,HYPE,41.90583471289556
2026-05-18,HYPE,45.31359330136022
2026-05-19,HYPE,47.48506347704847
2026-05-20,HYPE,48.16159991405943
2026-05-21,HYPE,54.49180366870602
2026-05-22,HYPE,58.67823839803401
2026-05-23,HYPE,55.08036444536184
2026-05-24,HYPE,58.5300406890646
2026-05-25,HYPE,62.99508734966046
2026-05-26,HYPE,61.247840603250445
2026-05-27,HYPE,59.41686819871029
2026-05-28,HYPE,57.72665771937905
2026-05-29,HYPE,61.53186355311289
2026-05-30,HYPE,64.34490584438504
2026-05-31,HYPE,68.14701116127944
2026-06-01,HYPE,71.9871206393546
2026-06-02,HYPE,73.5148095874548
2026-06-03,HYPE,69.464039351745
2026-06-04,HYPE,74.3919415806033
2026-06-05,HYPE,57.993531938806505
2026-04-22,BTC,76350.25202878818
2026-04-23,BTC,78194.78334884858
2026-04-24,BTC,78260.61998045091
2026-04-25,BTC,77444.79563692068
2026-04-26,BTC,77619.14219872655
2026-04-27,BTC,78645.12560170851
2026-04-28,BTC,77361.29911038803
2026-04-29,BTC,76345.22521002527
2026-04-30,BTC,75774.8855230121
2026-05-01,BTC,76286.57710950871
2026-05-02,BTC,78172.07422147921
2026-05-03,BTC,78655.34555331903
2026-05-04,BTC,78562.55051754859
2026-05-05,BTC,79823.88555955577
2026-05-06,BTC,80925.09365495079
2026-05-07,BTC,81424.99515650333
2026-05-08,BTC,80022.04125006415
2026-05-09,BTC,80189.06503567853
2026-05-10,BTC,80678.03394296461
2026-05-11,BTC,82145.65606759128
2026-05-12,BTC,81725.20771701908
2026-05-13,BTC,80480.88600120835
2026-05-14,BTC,79277.8045183824
2026-05-15,BTC,81051.9828878728
2026-05-16,BTC,79068.82024044942
2026-05-17,BTC,78135.00994863857
2026-05-18,BTC,77425.71519168488
2026-05-19,BTC,76952.2148594993
2026-05-20,BTC,76808.8105527178
2026-05-21,BTC,77459.94434557436
2026-05-22,BTC,77546.33765297421
2026-05-23,BTC,75482.52379955728
2026-05-24,BTC,76672.79289056802
2026-05-25,BTC,76988.16126107218
2026-05-26,BTC,77274.40152182181
2026-05-27,BTC,75824.06332542913
2026-05-28,BTC,74352.69928002391
2026-05-29,BTC,73539.84189606174
2026-05-30,BTC,73382.71831425565
2026-05-31,BTC,73751.06787328025
2026-06-01,BTC,73593.37119702855
2026-06-02,BTC,71360.32521325785
2026-06-03,BTC,66649.85561928031
2026-06-04,BTC,64021.88915867498
2026-06-05,BTC,60707.122368740864
